================================================================================
SEASON 1 - RIDER POSITION REPORT
Each rider's current position in the seasonal standings
================================================================================

Total Riders in Season 1 Standings: 2207

--------------------------------------------------------------------------------------------------------------
Position  Rider Name                    Team                ARR   Events  Points  Type
1072nd    Susan Bodden                  Monova              385   1       51      Bot
1073rd    Otto Winther                  Independent         925   1       51      Bot
1074th    Mykhailo Olyinyk              Nitro               1214  1       51      Bot
1075th    Marietta Haynes               Independent         902   1       51      Bot
1076th    Will Felix                    Saint               843   1       51      Bot
1077th    Jamila Abdul                  Fable               289   1       51      Bot
1078th    Edmund Miles                  Independent         1020  1       51      Bot
1079th    Helena Resende                Independent         543   1       51      Bot
1080th    Ramon Schulz                  Independent         1163  1       51      Bot
1081st    Ella Clarke                   Monova              859   1       51      Bot
1082nd    Feruza Nurmatova              Independent         792   1       51      Bot
1083rd    Zhiyu Foo                     Independent         1041  1       51      Bot
1084th    Marshall Tucker               Hinal               1194  1       51      Bot
1085th    Amanuel Tesfayl               Independent         1042  1       51      Bot
1086th    Gilles Langlois               Delta               777   1       51      Bot
1087th    Hikari Hara                   Windsail            674   1       50      Bot
1088th    Hugo Mathieu                  Independent         1272  1       50      Bot
1089th    Weston Summers                Base                981   1       50      Bot
1090th    Charlotte Rey                 Base                554   1       50      Bot
1091st    Amanda Dahlberg               Independent         658   1       50      Bot
